1700.762 1223.227 1700 1223 lc/lc_2020aagz 1
1045.513 778.675 1045 778 lc/lc_2020aawi 1
1100.662 2013.356 1100 2013 lc/lc_2020aawj 1
501.927 1196.958 501 1196 lc/lc_2020abwn 1
959.379 1608.717 959 1608 lc/lc_2020acaj 1
1318.105 1044.235 1318 1044 lc/lc_2020acgc 1
911.010 139.794 911 139 lc/lc_2020achk 1
1227.165 142.594 1227 142 lc/lc_2020aczd 1
1319.981 658.741 1319 658 lc/lc_2020adfz 1
1169.844 714.729 1169 714 lc/lc_2020adkk 1
1282.264 255.804 1282 255 lc/lc_2020adky 1
825.018 1056.694 825 1056 lc/lc_2020adoj 1
700.086 215.344 700 215 lc/lc_2020aedv 1
634.921 595.566 634 595 lc/lc_2020aeel 1
187.271 1014.466 187 1014 lc/lc_2020aeey 1
1680.167 882.950 1680 882 lc/lc_2020aefd 1
1700.280 624.695 1700 624 lc/lc_2020aehp 1
543.116 1296.182 543 1296 lc/lc_2020aehr 1
388.341 1762.265 388 1762 lc/lc_2020aehv 1
496.174 1316.355 496 1316 lc/lc_2020aein 1
1517.604 1534.173 1517 1534 lc/lc_2020aeit 1
398.273 1381.575 398 1381 lc/lc_2020aeoe 1
966.556 1019.809 966 1019 lc/lc_2020aeto 1
175.634 670.508 175 670 lc/lc_2020aeuq 1
1999.230 799.362 1999 799 lc/lc_2021aj 1
1183.249 324.135 1183 324 lc/lc_2021be 1
486.896 198.011 486 198 lc/lc_2021dl 1
518.951 78.985 518 78 lc/lc_2021jw 1
1545.160 857.103 1545 857 lc/lc_2021kq 1
1824.413 1902.184 1824 1902 lc/lc_2021mw 1
2061.088 804.204 2061 804 lc/lc_2021abi 1
747.681 350.227 747 350 lc/lc_2021aee 1
2001.164 1183.894 2001 1183 lc/lc_2021ajt 1
1949.940 1003.009 1949 1003 lc/lc_2021ank 1
1539.039 760.426 1539 760 lc/lc_2021aph 1
529.947 1180.529 529 1180 lc/lc_2021atq 1
344.362 1065.610 344 1065 lc/lc_2021ayz 1
1114.547 379.119 1114 379 lc/lc_2021bdb 1
2013.222 1058.446 2013 1058 lc/lc_2021bdt 1
1362.107 1191.908 1362 1191 lc/lc_2021bhy 1
1801.483 463.015 1801 463 lc/lc_2021bip 1
413.234 1257.872 413 1257 lc/lc_2021bjm 1
1157.566 806.454 1157 806 lc/lc_2021bor 1
594.053 1652.371 594 1652 lc/lc_2021bos 1
