285.975 1966.165 285 1966 lc/lc_2020aame 1
971.365 718.642 971 718 lc/lc_2020abcd 1
1892.560 1112.719 1892 1112 lc/lc_2020abdk 1
631.405 1663.803 631 1663 lc/lc_2020abvc 1
452.872 728.733 452 728 lc/lc_2020abxj 1
1244.225 1964.733 1244 1964 lc/lc_2020abxn 1
1740.878 1218.108 1740 1218 lc/lc_2020acax 1
644.977 1899.549 644 1899 lc/lc_2020acgi 1
617.549 317.455 617 317 lc/lc_2020aclq 1
166.565 441.073 166 441 lc/lc_2020adiw 1
1652.593 1409.117 1652 1409 lc/lc_2020adlb 1
2049.623 828.877 2049 828 lc/lc_2020adlw 1
260.838 400.585 260 400 lc/lc_2020adyz 1
1640.478 1926.204 1640 1926 lc/lc_2020aefg 1
2046.202 1568.671 2046 1568 lc/lc_2020aegb 1
356.861 1664.105 356 1664 lc/lc_2020aeos 1
255.520 1731.384 255 1731 lc/lc_2020aeot 1
387.321 200.175 387 200 lc/lc_2020aetk 1
987.165 34.559 987 34 lc/lc_2021ad 1
140.882 1068.476 140 1068 lc/lc_2021kp 1
595.792 887.616 595 887 lc/lc_2021lh 1
648.201 1349.077 648 1349 lc/lc_2021li 1
290.429 1488.191 290 1488 lc/lc_2021lu 1
1378.238 970.231 1378 970 lc/lc_2021zb 1
1468.048 49.837 1468 49 lc/lc_2021ae 1
