1,1,1325,555
1,1,142,1944
1,1,595,470
1,1,311,701
1,1,1005,1730
1,1,261,471
1,1,1915,1789
1,1,211,1195
1,1,339,142
1,1,1214,1842
1,1,1260,1890
1,1,1371,374
1,3,827,691
1,4,946,1157
1,4,1667,740
1,4,1918,1397
1,4,1482,165
1,4,1633,743
1,4,473,1266
1,4,678,1593
1,4,1965,921
1,4,555,805
1,4,1920,1615
1,4,1859,1342
1,4,752,97
1,4,1945,1327
1,4,1329,878
1,4,1236,611
1,4,1958,955
1,4,1687,377
1,4,1584,764
1,4,1647,692
1,4,1056,1720
2,1,2062,1347
2,2,297,1119
3,1,99,1765
3,3,1864,841
3,3,1693,887
3,3,1374,139
3,4,1959,252
3,4,548,1198
3,4,355,246
3,4,687,182
4,1,213,387
4,1,251,1175
4,2,872,1660
4,2,1310,860
4,2,962,1700
4,2,988,1703
4,2,1675,988
4,2,1560,665
4,2,646,1128
4,3,1674,1199
4,3,477,1442
4,3,141,1741
4,3,1399,1484
4,3,978,1169
4,3,977,240
4,3,1491,194
4,3,977,1249
4,3,273,860
4,3,977,720
4,3,1840,961
4,4,1971,361
4,4,2028,1080
4,4,1920,286
4,4,652,427
4,4,1740,1049
1,1,1436,590
4,2,1809,1572
4,3,1377,1652
4,3,1527,106
1,4,218,537
4,3,1771,1715
4,3,1560,122
