1168.093 927.725 1168 927 lc/lc_2020abuo 1
1895.250 363.331 1895 363 lc/lc_2020abxa 1
155.171 1988.244 155 1988 lc/lc_2020adbq 1
2011.121 1548.154 2011 1548 lc/lc_2020adeh 1
367.151 1038.411 367 1038 lc/lc_2020adnv 1
607.536 1991.537 607 1991 lc/lc_2020adth 1
1621.772 299.028 1621 299 lc/lc_2020aecm 1
1543.709 417.148 1543 417 lc/lc_2020aeee 1
1063.099 1585.174 1063 1585 lc/lc_2020aemi 1
1454.421 1901.463 1454 1901 lc/lc_2020aemn 1
1814.013 1679.756 1814 1679 lc/lc_2020aenz 1
1682.486 119.742 1682 119 lc/lc_2020aevq 1
320.014 1843.852 320 1843 lc/lc_2021bdw 1
1851.365 1932.384 1851 1932 lc/lc_2021biq 1
