1777.574 737.970 1777 737 lc/lc_2020aayk 1
137.144 398.639 137 398 lc/lc_2020abbx 1
1032.202 739.034 1032 739 lc/lc_2020abfo 1
1849.209 556.490 1849 556 lc/lc_2020abgz 1
1583.512 1124.945 1583 1124 lc/lc_2020acpv 1
1104.460 524.452 1104 524 lc/lc_2020adkr 1
2075.864 1504.808 2075 1504 lc/lc_2021gi 1
1674.595 1323.631 1674 1323 lc/lc_2021nf 1
943.013 1690.752 943 1690 lc/lc_2021zd 1
421.724 1909.055 421 1909 lc/lc_2021adu 1
566.198 1822.039 566 1822 lc/lc_2021ael 1
320.882 1407.386 320 1407 lc/lc_2021auw 1
2042.990 1309.749 2042 1309 lc/lc_2021aya 1
1941.988 980.182 1941 980 lc/lc_2021bnb 1
